ID;Domaine;Mode;Portée du lien;Discordance du support;Réponse affichée;Réponse historique du support;Documentation Microsoft;Question source
T1-Q1;Gérer les identités et la gouvernance Azure;Exercice avec correction comparée aux sources;scenario;Non;Assign tags to the virtual machines.;Assign tags to the virtual machines;https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/tag-resources;"Your company has serval departments. Each department has a number of virtual machines (VMs).

The company has an Azure subscription that contains a resource group named RG1.

All VMs are located in RG1.

You want to associate each VM with its respective department.

What should you do?"
T1-Q2;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;No;No;https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-grant;"Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result.

Establish if the solution satisfies the requirements.

Your company has an Azure Active Directory (Azure AD) subscription.

You want to implement an Azure AD conditional access policy.

The policy must be configured to require members of the Global Administrators group to use Multi-Factor Authentication and an Azure AD-joined

device when they connect to Azure AD from untrusted locations.

Solution: You access the multi-factor authentication page to alter the user settings.

Does the solution meet the goal?"
T1-Q3;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;NO;NO;https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-grant;"Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result.

Establish if the solution satisfies the requirements.

Your company has an Azure Active Directory (Azure AD) subscription.

You want to implement an Azure AD conditional access policy.

The policy must be configured to require members of the Global Administrators group to use Multi-Factor Authentication and an Azure AD-joined

device when they connect to Azure AD from untrusted locations.

Solution: You access the Azure portal to alter the session control of the Azure AD conditional access policy.

Does the solution meet the goal?"
T1-Q4;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Oui;Yes;Yes;https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-grant;"Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result.

Establish if the solution satisfies the requirements.

Your company has an Azure Active Directory (Azure AD) subscription.

You want to implement an Azure AD conditional access policy.

The policy must be configured to require members of the Global Administrators group to use Multi-Factor Authentication and an Azure AD-joined

device when they connect to Azure AD from untrusted locations.

Solution: You access the Azure portal to alter the grant control of the Azure AD conditional access policy.

Does the solution meet the goal?"
T1-Q5;Déployer et gérer les ressources de calcul Azure;Fiche question/réponse du support;theme;Non;The az vm create command;The az vm create command;https://learn.microsoft.com/en-us/azure/virtual-machines/availability-set-overview;"You are planning to deploy an Ubuntu Server virtual machine to your company's Azure subscription.

You are required to implement a custom deployment that includes adding a particular trusted root certification authority (CA).

Which of the following should you use to create the virtual machine?"
T1-Q6;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;No;No;https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-grant;"Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result.

Establish if the solution satisfies the requirements.

Your company makes use of Multi-Factor Authentication for when users are not in the office. The Per Authentication option has been configured

as the usage model.

After the acquisition of a smaller business and the addition of the new staff to Azure Active Directory (Azure AD) obtains a different company and

adding the new employees to Azure Active Directory (Azure AD), you are informed that these employees should also make use of Multi-Factor

Authentication.

To achieve this, the Per Enabled User setting must be set for the usage model.

Solution: You reconfigure the existing usage model via the Azure portal.

Does the solution meet the goal?"
T1-Q7;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;No;No;https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-grant;"Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result.

Establish if the solution satisfies the requirements.

Your company's Azure solution makes use of Multi-Factor Authentication for when users are not in the office. The Per Authentication option has

been configured as the usage model.

After the acquisition of a smaller business and the addition of the new staff to Azure Active Directory (Azure AD) obtains a different company and

adding the new employees to Azure Active Directory (Azure AD), you are informed that these employees should also make use of Multi-Factor

Authentication.

To achieve this, the Per Enabled User setting must be set for the usage model.

Solution: You reconfigure the existing usage model via the Azure CLI.

Does the solution meet the goal?"
T1-Q8;Gérer les identités et la gouvernance Azure;Exercice avec correction comparée aux sources;scenario;Non;Une stratégie d’accès conditionnel ciblant le groupe et exigeant MFA;Une stratégie d’accès conditionnel ciblant le groupe et exigeant MFA;https://learn.microsoft.com/en-us/entra/identity/conditional-access/policy-all-users-mfa-strength;Vous ajoutez à Microsoft Entra ID les collaborateurs d’une société acquise. Vous voulez imposer MFA à ce groupe lors des connexions aux applications cloud. Quel mécanisme configurez-vous ?
T1-Q9;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Oui;Yes;Yes;https://learn.microsoft.com/fr-fr/entra/identity/hybrid/connect/reference-connect-adsync;"Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result.

Establish if the solution satisfies the requirements.

Your company has an Azure Active Directory (Azure AD) tenant named weyland.com that is configured for hybrid coexistence with the on-

premises Active

Directory domain.

You have a server named DirSync1 that is configured as a DirSync server.

You create a new user account in the on-premise Active Directory. You now need to replicate the user information to Azure AD immediately.

Solution: You run the Start-ADSyncSyncCycle -PolicyType Initial PowerShell cmdlet.

Does the solution meet the goal?"
T1-Q10;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;No;No;https://learn.microsoft.com/en-us/entra/identity/role-based-access-control/permissions-reference;"Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result.

Establish if the solution satisfies the requirements.

Your company has an Azure Active Directory (Azure AD) tenant named weyland.com that is configured for hybrid coexistence with the on-

premises Active

Directory domain.

You have a server named DirSync1 that is configured as a DirSync server.

You create a new user account in the on-premise Active Directory. You now need to replicate the user information to Azure AD immediately.

Solution: You use Active Directory Sites and Services to force replication of the Global Catalog on a domain controller.

Does the solution meet the goal?"
